airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation,cancellation_percentage,profit
Sycamore American Airlines,$213,544027,92485,0.86%,2.23%,17.00%,"$562,631"
Sycamore Arizona Airlines,$618,1135015,476706,0.83%,1.16%,42.00%,"$2,427,345"
Sycamore California Airlines,$847,672707,201812,0.43%,0.81%,30.00%,"$1,078,350"
Syrian Airlines,$629,1863567,260899,0.80%,1.02%,14.00%,"$7,722,624"
Syrma Airlines,$428,1696188,1051637,0.70%,1.25%,62.00%,"-$499,699"
Tabit Airlines,$696,1830225,1262855,0.72%,1.16%,69.00%,"-$1,033,160"
Taika Airlines,"$1,747",596265,453161,0.14%,0.31%,76.00%,"-$1,026,528"
Taiyangshou Airlines,$595,969854,572214,0.59%,1.12%,59.00%,"-$437,599"
Taiyi Airlines,"$1,236",1824270,492553,0.38%,0.52%,27.00%,"$5,398,562"
Tala Airlines,"$1,010",916237,100786,0.20%,0.32%,11.00%,"$1,561,909"
Taleggio Airlines,"$1,285",627883,269990,0.23%,0.37%,43.00%,"$559,066"
Talitha Airlines,"$1,913",823726,337728,0.20%,0.33%,41.00%,"$994,647"
Tall Ambrosia Airlines,"$1,236",258940,160543,0.35%,0.50%,62.00%,"$135,580"
Tall Coneflower Airlines,"$1,051",1747276,17473,0.19%,0.29%,1.00%,"$3,423,262"
Talpoides Airlines,$669,54257,6511,0.28%,0.45%,12.00%,"$83,143"
Tamaskan Airlines,"$1,167",991143,168494,0.44%,0.57%,17.00%,"$3,912,836"
Tamie Airlines,"$1,676",373594,201741,0.29%,0.45%,54.00%,"$284,453"
Tang Airlines,$463,1680175,991303,1.06%,1.76%,59.00%,"$180,453"
Tangra Airlines,$836,727329,0,0.48%,0.68%,0.00%,"$2,894,769"
Tania Australis Airlines,$432,1785443,232108,0.44%,1.18%,13.00%,"$2,244,300"
Tania Borealis Airlines,"$1,718",33062,13555,0.12%,0.25%,41.00%,"$7,854"
Tansy Airlines,"$1,272",1619301,372439,0.32%,0.47%,23.00%,"$4,316,086"
Tapanuli Orang-utan Airlines,"$1,598",1197512,239502,0.21%,0.41%,20.00%,"$2,517,173"
Tapecue Airlines,"$1,772",1558673,46760,0.27%,0.36%,3.00%,"$7,180,964"
Tapir Airlines,"$1,663",1022144,838158,0.13%,0.29%,82.00%,"-$1,929,807"
Tarazed Airlines,"$1,202",1514116,1014458,0.22%,0.32%,67.00%,"-$19,685"
Tarf Airlines,"$1,885",1147563,539355,0.20%,0.37%,47.00%,"$641,255"
Tarpon Airlines,"$1,073",1108124,731362,0.51%,0.80%,66.00%,"-$151,149"
Tarsier Airlines,"$1,404",1475589,1150959,0.38%,0.48%,78.00%,"$135,462"
Tasmania Highland Chevre Log Airlines,$886,1288720,605698,0.36%,0.70%,47.00%,"$370,123"
Tasmanian Devil Airlines,$323,1556536,856095,0.58%,1.35%,55.00%,"-$845,978"
Tassel Weed Airlines,"$1,622",1448121,14481,0.28%,0.47%,1.00%,"$6,406,344"
Taupiniere Airlines,$537,955035,171906,0.38%,0.80%,18.00%,"$1,191,694"
Tawny Owl Airlines,$716,1595748,47872,0.71%,0.94%,3.00%,"$7,751,828"
Taygeta Airlines,"$1,701",935718,0,0.12%,0.26%,0.00%,"$1,899,508"
Tea Airlines,"$1,688",81411,17910,0.27%,0.44%,22.00%,"$244,936"
Teddy Roosevelt Terrier Airlines,"$1,887",703278,119557,0.29%,0.38%,17.00%,"$2,988,652"
Tegmine Airlines,"$1,240",1952253,780900,0.41%,0.51%,40.00%,"$4,896,258"
Teifi Airlines,$348,957949,354441,0.67%,1.00%,37.00%,"$1,008,146"
Tejat Airlines,$529,1865437,447705,0.88%,1.40%,24.00%,"$5,417,228"
Telemea Airlines,$362,1518513,258147,1.00%,1.80%,17.00%,"$3,834,247"
Terebellum Airlines,$850,1232309,677770,0.39%,0.69%,55.00%,"$75,787"
Termite Airlines,"$1,894",1978239,1226508,0.28%,0.36%,62.00%,"$2,250,842"
Testouri Airlines,"$1,189",699621,517720,0.22%,0.33%,74.00%,"-$197,995"
Tete De Moine Airlines,$627,81876,22925,0.40%,0.59%,28.00%,"$117,771"
Tetilla Airlines,"$1,730",1494263,433336,0.29%,0.43%,29.00%,"$4,264,180"
Tetra Airlines,$393,1375316,467607,0.70%,1.32%,34.00%,"$1,368,992"
Tevel Airlines,"$1,092",1893926,284089,0.18%,0.27%,15.00%,"$2,862,669"
Texas Goat Cheese Airlines,"$1,177",655275,26211,0.21%,0.33%,4.00%,"$1,495,862"
Theemin Airlines,"$1,636",740536,481348,0.19%,0.27%,65.00%,"$141,074"
Thimbleberry Airlines,"$1,848",6384,255,0.18%,0.35%,3.99%,"$19,108"
Thimbleweed Airlines,$309,1753637,982037,1.09%,1.43%,56.00%,"$1,596,510"
Thin Leaved Coneflower Airlines,$674,265429,207035,0.77%,1.17%,78.00%,"-$254,443"
Thistle Airlines,$326,1098168,790681,0.49%,1.40%,72.00%,"-$1,867,325"
Thorny Devil Airlines,"$1,291",1162435,767207,0.17%,0.31%,66.00%,"-$584,704"
Thousand Leaf Airlines,$532,1606255,995878,0.32%,0.77%,62.00%,"-$1,388,446"
Thousand Seal Airlines,$565,1018978,489109,0.53%,0.84%,48.00%,"$734,074"
Three Leaved Coneflower Airlines,"$1,564",706803,77748,0.24%,0.39%,11.00%,"$2,160,487"
Thuban Airlines,$832,406312,345365,0.19%,0.53%,85.00%,"-$883,931"
Thyme Airlines,"$1,035",1569381,455120,0.44%,0.56%,29.00%,"$4,458,457"
Tiaki Airlines,$823,1949235,233908,0.47%,0.69%,12.00%,"$6,260,944"
Tianguan Airlines,$457,1891101,718618,0.58%,1.12%,38.00%,"$1,365,377"
Tianyi Airlines,$492,1383846,1024046,0.59%,0.99%,74.00%,"-$973,951"
Tibet Airlines,"$1,013",1813547,145084,0.15%,0.37%,8.00%,"$2,280,716"
Tibetan Mastiff Airlines,$639,1387853,1165797,0.40%,0.81%,84.00%,"-$2,495,362"
Tickle Weed Airlines,"$1,411",1910821,1299358,0.21%,0.31%,68.00%,"$100,128"
Tiffany Airlines,$963,237193,194498,0.47%,0.75%,82.00%,"-$325,474"
Tiger Airlines,"$1,238",1389956,1084166,0.39%,0.48%,78.00%,"$299,951"
Tiger Salamander Airlines,"$1,167",1665846,1066141,0.45%,0.70%,64.00%,"$18,661"
Tiger Shark Airlines,$925,720135,302457,0.20%,0.38%,42.00%,"$282,724"
Tillamook Cheddar Airlines,"$1,680",1177436,953723,0.27%,0.43%,81.00%,"-$1,511,709"
Tilsit Airlines,$498,448026,94085,0.56%,1.14%,21.00%,"$705,688"
Timboon Brie Airlines,$459,1724644,551886,0.35%,0.68%,32.00%,"$1,061,001"
Timir Airlines,$867,1832872,1118052,0.38%,0.73%,61.00%,"-$1,146,829"
Tislit Airlines,"$1,741",1348755,701353,0.32%,0.38%,52.00%,"$2,746,602"
Titawin Airlines,$495,820870,361183,0.57%,1.02%,44.00%,"$499,088"
Tobacco Plant Airlines,"$1,447",1363763,845533,0.28%,0.41%,62.00%,"$614,512"
Tojil Airlines,$589,618794,358901,0.88%,1.32%,58.00%,"$413,103"
Toliman Airlines,"$1,401",1476630,826913,0.15%,0.25%,56.00%,"$255,752"
Toma Airlines,"$1,258",1281756,102540,0.42%,0.59%,8.00%,"$5,989,906"
Tomato Airlines,"$1,560",818403,90024,0.22%,0.36%,11.00%,"$2,340,307"
Tomme Brulee Airlines,$860,178856,130565,0.29%,0.46%,73.00%,"-$73,957"
Tomme D'Abondance Airlines,"$1,025",1969442,1102888,0.50%,0.67%,56.00%,"$2,480,706"
Tomme De Chevre Airlines,"$1,244",1847835,295654,0.28%,0.40%,16.00%,"$4,966,979"
Tomme De Romans Airlines,$529,1082209,162331,0.81%,1.04%,15.00%,"$3,719,013"
Tomme De Savoie Airlines,$803,1488264,595306,0.24%,0.38%,40.00%,"$1,029,877"
Tomme Des Chouans Airlines,"$1,688",1186493,878005,0.12%,0.18%,74.00%,"-$248,215"
Tommes Airlines,"$1,861",261194,167164,0.25%,0.32%,64.00%,"$205,404"
Tonatiuh Airlines,"$1,542",783485,595449,0.35%,0.44%,76.00%,"$284,246"
Toothwort Airlines,$558,704941,549854,0.62%,1.03%,78.00%,"-$721,014"
Torcular Airlines,$897,218223,74196,0.33%,0.50%,34.00%,"$319,347"
Torta Del Casar Airlines,"$1,060",517568,377825,0.48%,0.63%,73.00%,"$138,809"
Tortoise Airlines,$248,1545351,15454,1.38%,1.99%,1.00%,"$5,193,304"
Toscanello Airlines,"$1,203",1240128,471249,0.36%,0.48%,38.00%,"$2,675,450"
Toucan Airlines,$325,442912,101870,1.00%,1.85%,23.00%,"$827,225"
Touch Me Not Airlines,"$1,271",1434216,487633,0.19%,0.40%,34.00%,"$1,070,501"
Touree De L'Aubier Airlines,$337,699954,475969,1.18%,2.09%,68.00%,"-$581,524"
Tourmalet Airlines,"$1,560",1411106,1100663,0.28%,0.36%,78.00%,"$97,082"
Townsendii Airlines,"$1,349",1719522,705004,0.22%,0.42%,41.00%,"$1,151,908"
Trailing Bittersweet Airlines,"$1,097",1421587,881384,0.34%,0.51%,62.00%,"$418,231"
Trailing Nightshade Airlines,$791,699151,55932,0.50%,0.64%,8.00%,"$2,479,190"
Trailing Red Huckleberry Airlines,$280,251658,145962,0.73%,1.44%,58.00%,"-$72,328"
Trailing Violet Nightshade Airlines,"$1,666",1788798,71552,0.26%,0.44%,4.00%,"$7,221,019"
Trappe Airlines,$908,1140707,832716,0.24%,0.54%,73.00%,"-$1,608,054"
Travellers Joy Airlines,$538,1820382,1529121,0.47%,0.79%,84.00%,"-$1,841,499"
Tread Softly Airlines,"$1,361",1911360,668976,0.24%,0.48%,35.00%,"$1,959,144"
Tree Frog Airlines,$699,771921,524906,0.77%,0.99%,68.00%,"$504,838"
Tree Onion Airlines,$503,1709971,718188,0.48%,0.97%,42.00%,"$567,709"
Tree Sow Thistle Airlines,"$1,310",1197919,790627,0.30%,0.44%,66.00%,"$193,342"
Tree Tobacco Airlines,$568,1239651,743791,0.30%,0.85%,60.00%,"-$1,465,269"
Trillium Airlines,$915,1335380,454029,0.18%,0.40%,34.00%,"$555,252"
Trois Cornes De Vendee Airlines,$569,1580334,15803,0.69%,1.13%,1.00%,"$6,061,373"
Tronchon Airlines,$241,438385,201657,1.34%,2.37%,46.00%,"$268,906"
Tropicbird Airlines,"$1,014",1338233,80294,0.17%,0.27%,6.00%,"$2,080,149"
Trou Du Cru Airlines,"$1,758",998087,29943,0.21%,0.33%,3.00%,"$3,497,195"
True Cinnamon Airlines,"$1,278",650732,247278,0.28%,0.51%,38.00%,"$714,895"
Truffe Airlines,$735,373546,11206,0.60%,0.90%,3.00%,"$1,566,131"
Tuatara Airlines,$678,824971,263991,0.52%,0.85%,32.00%,"$1,405,089"
Tuber Root Airlines,$477,1774840,674439,0.69%,0.93%,38.00%,"$2,815,962"
Tuiren Airlines,$319,1436154,789885,1.39%,2.12%,55.00%,"$1,044,800"
Tulip Airlines,"$1,890",1048826,555878,0.29%,0.36%,53.00%,"$2,085,484"
Tulsi Airlines,$789,1395913,1088812,0.69%,1.00%,78.00%,"-$1,027,949"
Tupa Airlines,$788,17698,6371,0.29%,0.54%,36.00%,"$13,629"
Tupi Airlines,"$1,981",1605812,353279,0.08%,0.17%,22.00%,"$1,374,895"
Tupi Airlines,"$1,189",488424,166064,0.25%,0.45%,34.00%,"$558,758"
Tureis Airlines,"$1,393",915135,539930,0.20%,0.32%,59.00%,"$210,846"
Turkey Airlines,$246,267044,162897,1.72%,3.04%,61.00%,"-$87,244"
Turkish Angora Airlines,$399,1953358,390672,1.34%,1.76%,20.00%,"$7,704,041"
Turunmaa Airlines,$420,2627,1392,1.05%,1.79%,52.99%,"$1,119"
Tymsboro Airlines,"$1,714",1810983,307867,0.32%,0.51%,17.00%,"$7,236,870"
Tyn Grug Airlines,"$1,603",435996,21800,0.33%,0.48%,5.00%,"$2,155,345"
Tyning Airlines,$850,809634,315757,0.28%,0.42%,39.00%,"$820,808"
Uakari Airlines,$956,880792,79271,0.38%,0.55%,9.00%,"$2,777,931"
Ubriaco Airlines,"$1,728",121723,64513,0.27%,0.36%,53.00%,"$177,132"
Uguisu Airlines,"$1,004",1879731,1146636,0.35%,0.46%,61.00%,"$1,315,059"
Ukdah Airlines,"$1,406",1087338,54367,0.34%,0.42%,5.00%,"$4,808,752"
Uklun Airlines,"$1,770",1897855,569357,0.20%,0.30%,30.00%,"$3,845,052"
Ulloa Airlines,$993,35648,29944,0.50%,0.75%,84.00%,"-$48,294"
Umbrellabird Airlines,$529,826208,347007,0.47%,1.01%,42.00%,"$213,825"
Umbrinus Airlines,"$1,586",317822,216119,0.27%,0.40%,68.00%,"$30,638"
Unukalhai Airlines,"$1,612",481241,182872,0.22%,0.34%,38.00%,"$676,045"
Upland Cress Airlines,"$1,437",949740,275425,0.11%,0.29%,29.00%,"$382,079"
Uruk Airlines,"$1,070",934869,645060,0.36%,0.50%,69.00%,"$173,323"
Utonagan Airlines,"$1,174",1887524,755010,0.20%,0.43%,40.00%,"$705,932"
Vacherin-Fribourgeois Airlines,$392,1179574,943659,0.61%,1.44%,80.00%,"-$2,470,027"
Valencay Airlines,$896,1321370,687112,0.31%,0.66%,52.00%,"-$381,081"
Valley Oak Airlines,"$1,249",1249452,812144,0.30%,0.49%,65.00%,"-$281,128"
Vampire Bat Airlines,"$1,834",935642,346188,0.18%,0.34%,37.00%,"$1,013,672"
Vampire Squid Airlines,$638,874804,166213,0.37%,0.64%,19.00%,"$1,370,554"
Vanilla Orchid Airlines,"$1,395",1605206,417354,0.29%,0.50%,26.00%,"$3,527,919"
Vaquita Airlines,"$1,012",1356798,583423,0.46%,0.56%,43.00%,"$2,958,499"
Vasterbottenost Airlines,"$1,301",399623,99906,0.32%,0.49%,25.00%,"$1,043,014"
Vega Airlines,"$1,465",1977986,336258,0.14%,0.28%,17.00%,"$2,537,754"
Venaco Airlines,$891,618419,24737,0.60%,0.74%,4.00%,"$3,119,799"
Vendomois Airlines,$744,1055694,168911,0.51%,0.89%,16.00%,"$2,909,493"
Venustus Airlines,$611,1612956,935514,0.60%,1.09%,58.00%,"-$343,234"
Veritate Airlines,"$1,248",1234531,864172,0.39%,0.58%,70.00%,"-$160,491"
Vermont Cheddar Airlines,"$1,295",790347,165973,0.20%,0.40%,21.00%,"$1,203,461"
Vervet Monkey Airlines,$383,767028,345163,1.09%,1.53%,45.00%,"$1,191,192"
Viburnum Airlines,$641,1961035,235324,0.72%,0.93%,12.00%,"$7,620,583"
Vieux Corse Airlines,$980,617485,179071,0.45%,0.65%,29.00%,"$1,574,461"
Vignotte Airlines,$749,685045,143859,0.42%,0.64%,21.00%,"$1,460,518"
Vindemiatrix Airlines,"$1,990",983128,304770,0.15%,0.31%,31.00%,"$1,077,408"
Viola Species Airlines,"$1,381",12186,8165,0.14%,0.36%,67.00%,"-$16,327"
Violet Airlines,$705,534396,299262,0.34%,0.77%,56.00%,"-$353,130"
Violet Bloom Airlines,"$1,843",1724206,775893,0.27%,0.39%,45.00%,"$2,981,150"
Virginia Silk Weed Airlines,"$1,404",1195050,597525,0.36%,0.51%,50.00%,"$1,780,625"
Virginia Virgins Bower Airlines,"$1,769",1715474,789118,0.16%,0.34%,46.00%,"$77,883"
Virginia Winterberry Airlines,"$1,843",280994,36529,0.14%,0.31%,13.00%,"$543,500"
Virgins Bower Airlines,"$1,386",823874,181252,0.19%,0.32%,22.00%,"$1,418,712"
Vulscombe Airlines,"$1,245",1306376,52255,0.24%,0.32%,4.00%,"$3,722,649"
Vulture Airlines,$409,205033,55359,0.74%,1.13%,27.00%,"$364,384"
Waimata Farmhouse Blue Airlines,$395,772391,23172,0.50%,1.11%,3.00%,"$1,420,349"
Wall Speedwell Airlines,"$1,098",420466,75684,0.38%,0.63%,18.00%,"$1,239,953"
Wallaby Airlines,$350,1662989,681825,0.72%,1.11%,41.00%,"$1,535,440"
Walleye Fish Airlines,$398,168959,5069,1.25%,1.89%,3.00%,"$801,658"
Walnut Airlines,"$1,594",283832,207197,0.11%,0.21%,73.00%,"-$203,308"
Walnut California Walnut Airlines,"$1,138",603241,349880,0.42%,0.59%,58.00%,"$502,740"
Walrus Airlines,$204,424805,293115,2.50%,3.83%,69.00%,"-$122,723"
Wandering Albatross Airlines,"$1,331",1568644,564712,0.18%,0.40%,36.00%,"$682,046"
Warthog Airlines,"$1,795",474962,132989,0.18%,0.24%,28.00%,"$912,309"
Wasat Airlines,"$1,657",1324728,688859,0.24%,0.38%,52.00%,"$994,073"
Washed Rind Cheese Airlines,$271,814090,423327,0.82%,1.20%,52.00%,"$419,093"
Wasp Airlines,"$1,091",278207,228130,0.46%,0.70%,82.00%,"-$345,034"
Water Ash Airlines,"$1,603",223798,31332,0.29%,0.36%,14.00%,"$854,146"
Water Birch Airlines,"$1,885",692677,41561,0.16%,0.23%,6.00%,"$1,909,847"
Water Buffalo Airlines,$697,477934,205512,0.52%,0.84%,43.00%,"$525,821"
Water Dragon Airlines,"$1,148",1019801,387524,0.39%,0.56%,38.00%,"$2,051,230"
Water Fern Airlines,"$1,125",1873381,1217698,0.38%,0.56%,65.00%,"$389,661"
Water Maple Airlines,$703,1644438,98666,0.41%,0.72%,6.00%,"$4,253,176"
Water Vole Airlines,"$1,662",1565727,720234,0.23%,0.40%,46.00%,"$1,221,583"
Waterloo Airlines,"$1,933",1158400,949888,0.11%,0.19%,82.00%,"-$1,170,447"
Way Bread Airlines,$554,409160,155481,0.82%,1.34%,38.00%,"$702,363"
Way Thistle Airlines,"$1,267",482954,270454,0.18%,0.35%,56.00%,"-$106,635"
Wayside Plantain Airlines,$550,116908,56116,0.53%,1.02%,48.00%,"$25,999"
Wazn Airlines,$554,1082845,606393,0.84%,1.28%,56.00%,"$757,560"
Weasel Airlines,"$1,779",241622,77319,0.31%,0.41%,32.00%,"$763,719"
Weeping Birch Airlines,$202,1336936,935855,2.73%,3.82%,70.00%,"$151,075"
Weichkaese Airlines,$624,1040656,749272,0.77%,1.09%,72.00%,"-$99,901"
Wellington Airlines,$640,1202220,805487,0.86%,1.10%,67.00%,"$933,647"
Welsh Corgi: The Complete Pet Guide Airlines,$394,908926,209053,1.11%,1.37%,23.00%,"$2,861,299"
Wensleydale Airlines,"$1,105",458171,73307,0.42%,0.70%,16.00%,"$1,537,808"
West Highland Terrier Airlines,"$1,123",622473,448181,0.19%,0.43%,72.00%,"-$803,241"
Western Gorilla Airlines,"$1,745",1743800,191818,0.13%,0.25%,11.00%,"$3,061,938"
Western Lowland Gorilla Airlines,$347,307132,73712,0.95%,1.31%,24.00%,"$676,549"
Western Redbud Airlines,"$1,895",177918,90738,0.13%,0.19%,51.00%,"$86,842"
Western Sword Fern Airlines,"$1,007",556816,428748,0.33%,0.49%,77.00%,"-$273,673"
Western Trillium Airlines,$750,1457262,466324,0.54%,0.75%,32.00%,"$3,281,753"
Western Wake Robin Airlines,$259,619099,334313,1.33%,2.48%,54.00%,"-$19,932"
Wezen Airlines,"$1,762",241467,57952,0.25%,0.40%,24.00%,"$679,102"
Whale Shark Airlines,"$1,233",1255327,891282,0.43%,0.59%,71.00%,"$120,136"
Wheat Airlines,$554,210051,0,0.38%,0.81%,0.00%,"$441,107"
Whippet Airlines,"$1,129",888996,106680,0.22%,0.43%,12.00%,"$1,730,695"
Whiskey Cherry Airlines,"$1,586",1602546,1249986,0.26%,0.37%,78.00%,"-$663,455"
White Alder Airlines,$824,931548,102470,0.66%,0.95%,11.00%,"$4,295,277"
White Ash Airlines,"$1,418",1911364,1337955,0.25%,0.35%,70.00%,-$1
White Birch Airlines,"$1,575",1997315,758980,0.31%,0.41%,38.00%,"$4,910,597"
White Cornel Airlines,"$1,832",1573772,236066,0.09%,0.25%,15.00%,"$1,484,066"
White Hellebore Airlines,"$1,766",1878554,450853,0.22%,0.33%,24.00%,"$4,637,022"
White Indian Hemp Airlines,"$1,769",1012659,313924,0.10%,0.24%,31.00%,"$382,483"
White Mans Foot Airlines,$497,83130,24939,0.32%,0.77%,30.00%,"$37,159"
White Maple Airlines,$216,1413456,763266,2.32%,3.53%,54.00%,"$1,257,695"
White Mulberry Airlines,$524,1354547,934637,0.71%,1.24%,69.00%,"-$1,036,226"
White Oak Airlines,"$1,040",1876736,56302,0.41%,0.52%,3.00%,"$7,783,012"
White Rhinoceros Airlines,$775,1751935,875968,0.20%,0.38%,50.00%,"$131,394"
White Root Airlines,"$1,156",1381467,400625,0.36%,0.51%,29.00%,"$3,424,659"
White Stilton Airlines,$997,274776,230812,0.52%,0.66%,84.00%,"-$86,281"
White Tansy Airlines,"$1,242",1147449,585199,0.41%,0.63%,51.00%,"$1,281,586"
White Tiger Airlines,"$1,106",246749,83895,0.46%,0.72%,34.00%,"$581,634"
White Trillium Airlines,"$1,448",828964,198951,0.17%,0.31%,24.00%,"$1,141,982"
White-Faced Capuchin Airlines,$429,170490,132982,1.07%,1.73%,78.00%,"-$202,097"
Whitestone Farmhouse Airlines,"$1,866",534202,256417,0.20%,0.25%,48.00%,"$768,823"
Whorled Milkweed Airlines,$264,134063,64350,1.15%,2.14%,48.00%,"$43,277"
Wigmore Airlines,"$1,043",1411664,84700,0.32%,0.45%,6.00%,"$4,377,569"
Wild Black Cherry Airlines,$888,1864555,1137379,0.42%,0.71%,61.00%,"-$218,902"
Wild Boar Airlines,"$1,862",1355397,1030102,0.27%,0.34%,76.00%,"$242,343"
Wild Carrot Airlines,$800,783272,289811,0.54%,0.76%,37.00%,"$1,617,611"
Wild Cherry Airlines,"$1,169",628017,106763,0.27%,0.49%,17.00%,"$1,370,646"
Wild Cotton Airlines,"$1,779",769895,438840,0.14%,0.29%,57.00%,"-$366,084"
Wild Garlic Airlines,"$1,860",6932,3258,0.12%,0.19%,47.00%,"$3,375"
Wild Hops Airlines,"$1,624",1581767,1297049,0.26%,0.44%,82.00%,"-$2,499,509"
Wild Onion Airlines,$764,300506,78132,0.55%,0.82%,26.00%,"$777,587"
Wild Orange Airlines,"$1,118",563699,422774,0.38%,0.58%,75.00%,"-$345,264"
Wild Pellitory Airlines,"$1,375",720633,511649,0.14%,0.37%,71.00%,"-$1,259,736"
Wild Rose Airlines,"$1,869",168490,72451,0.21%,0.35%,43.00%,"$201,579"
Wild Tansy Airlines,$295,420189,235306,0.84%,1.91%,56.00%,"-$286,906"
Wildebeest Airlines,$887,240320,33645,0.24%,0.35%,14.00%,"$402,103"
Willow Airlines,"$1,505",1541661,354582,0.35%,0.43%,23.00%,"$5,788,937"
Wind Root Airlines,$267,1040504,447417,1.32%,1.82%,43.00%,"$1,494,058"
Wineberry Airlines,$943,193005,98433,0.55%,0.69%,51.00%,"$359,044"
Winter Cress Airlines,$704,1141084,855813,0.43%,0.64%,75.00%,"-$439,317"
Winter Gilli Flower Airlines,$830,838824,260035,0.64%,0.89%,31.00%,"$2,548,686"
Winter Rocket Airlines,"$1,994",1454840,741968,0.23%,0.36%,51.00%,"$1,415,126"
Winterberry Airlines,$369,1019821,479316,1.11%,1.49%,47.00%,"$1,550,433"
Winterberry Holly Airlines,"$1,204",1249963,337490,0.36%,0.53%,27.00%,"$3,247,654"
Wolf Airlines,"$1,180",425381,102091,0.37%,0.60%,24.00%,"$1,120,116"
Wolf Eel Airlines,"$1,577",1825659,785033,0.25%,0.31%,43.00%,"$3,234,157"
Wolf Spider Airlines,"$1,921",993333,208600,0.23%,0.31%,21.00%,"$3,151,448"
Wolffish Airlines,$824,1220947,818034,0.27%,0.54%,67.00%,"-$897,150"
Wolverine Airlines,$570,1086293,706090,0.58%,0.95%,65.00%,"-$231,378"
Wombat Airlines,"$1,947",1616386,614227,0.09%,0.21%,38.00%,"$241,163"
Woodbine Airlines,"$1,744",98605,66065,0.17%,0.27%,67.00%,"-$12,383"
Woodlouse Airlines,"$1,853",568400,198940,0.15%,0.25%,35.00%,"$645,987"
Woodpecker Airlines,$749,104956,74519,0.25%,0.60%,71.00%,"-$138,763"
Woodside Cabecou Airlines,$356,536697,338119,1.37%,1.67%,63.00%,"$608,669"
Woody Nightshade Airlines,$665,293870,196893,0.60%,0.99%,67.00%,"-$122,045"
Woolly Mammoth Airlines,"$1,095",474627,393940,0.37%,0.53%,83.00%,"-$356,348"
Woolly Monkey Airlines,$561,1109782,166467,0.82%,1.15%,15.00%,"$4,053,481"
Woolly Yarrow Airlines,$706,337280,155149,0.50%,0.81%,46.00%,"$306,249"
Wormwood Airlines,$628,440704,61699,0.30%,0.73%,14.00%,"$546,559"
Wound Rocket Airlines,"$1,389",1468391,220259,0.25%,0.47%,15.00%,"$3,621,050"
Wrasse Airlines,$206,872438,26173,1.72%,2.38%,3.00%,"$2,960,183"
Wurren Airlines,$481,1489993,744997,1.13%,1.65%,50.00%,"$2,190,286"
Wyoming Toad Airlines,$861,1049060,671398,0.55%,0.77%,64.00%,"$524,952"
X-Ray Tetra Airlines,"$1,224",1296339,544462,0.33%,0.45%,42.00%,"$2,211,297"
Xamidimura Airlines,"$1,277",1781456,730397,0.43%,0.53%,41.00%,"$4,734,932"
Xerus Airlines,"$1,843",396117,249554,0.26%,0.33%,63.00%,"$406,375"
Xihe Airlines,"$1,388",1338124,1043737,0.13%,0.27%,78.00%,"-$1,445,978"
Xuange Airlines,"$1,931",365338,62107,0.28%,0.42%,17.00%,"$1,496,647"
Xynotyro Airlines,$242,794591,270161,1.45%,2.26%,34.00%,"$1,305,989"
Yak Airlines,$385,478393,33488,1.08%,1.76%,7.00%,"$1,768,520"
Yam Dios Corea Airlines,"$1,282",413441,95091,0.43%,0.52%,23.00%,"$1,653,974"
Yarg Cornish Airlines,"$1,453",896603,762113,0.36%,0.58%,85.00%,"-$1,682,031"
Yarra Valley Pyramid Airlines,"$1,270",989344,771688,0.34%,0.55%,78.00%,"-$1,141,107"
Yarrow Airlines,$469,1136943,955032,0.53%,1.06%,84.00%,"-$1,919,159"
Yed Posterior Airlines,"$1,654",1612056,902751,0.15%,0.32%,56.00%,"-$633,859"
Yed Prior Airlines,"$1,890",916469,659858,0.24%,0.40%,72.00%,"-$883,845"
Yellow Bark Oak Airlines,$287,1731624,813863,1.22%,1.67%,47.00%,"$2,171,458"
Yellow Birch Airlines,"$1,986",431934,332589,0.15%,0.28%,77.00%,"-$573,996"
Yellow Coneflower Airlines,"$1,066",1367612,1094090,0.46%,0.65%,80.00%,"-$965,537"
Yellow Corydalis Airlines,"$1,543",1202134,348619,0.20%,0.27%,29.00%,"$2,209,281"
Yellow Daisy Airlines,"$1,548",224133,22413,0.28%,0.42%,10.00%,"$812,036"
Yellow Field Cress Airlines,"$1,832",527286,152913,0.16%,0.26%,29.00%,"$824,042"
Yellow Fume Wort Airlines,$274,1960157,1254500,1.85%,2.68%,64.00%,"$710,364"
Yellow Harlequin Airlines,$959,835366,25061,0.47%,0.61%,3.00%,"$3,586,978"
Yellow Milkweed Airlines,$643,1907315,1201608,0.49%,0.76%,63.00%,"$125,122"
Yellow Ox Eye Daisy Airlines,$284,1085009,54250,1.81%,2.30%,5.00%,"$5,211,301"
Yellow Rocket Airlines,"$1,105",1066444,117309,0.29%,0.51%,11.00%,"$2,755,797"
Yellow Wood Airlines,"$1,625",406933,215674,0.13%,0.27%,53.00%,"-$67,345"
Yellow-Eyed Penguin Airlines,"$1,905",312595,143794,0.29%,0.35%,46.00%,"$762,605"
Yildun Airlines,$482,1848775,1257167,0.74%,1.06%,68.00%,"$150,860"
Yorkshire Blue Airlines,"$1,055",1344683,322724,0.37%,0.62%,24.00%,"$3,099,763"
Yorkshire Terrier Airlines,"$1,975",666375,366506,0.19%,0.26%,55.00%,"$589,743"
Zamorano Airlines,"$1,200",950705,133099,0.20%,0.46%,14.00%,"$1,572,655"
